region,production_2018,production_2019,production_2020,growth_2019,growth_2020,pct_share_2020
CAR,5817,6309,6744,8.5,6.9,1.2
Region I,22061,23700,24238,7.4,2.3,4.2
Region II,17634,17554,17420,-0.5,-0.8,3
Region III,109400,111603,114106,2,2.2,20
Region IV-A,91077,92270,90331,1.3,-2.1,15.8
Region IV-B,16279,17370,17769,6.7,2.3,3.1
Region V,34687,35329,34529,1.9,-2.3,6
Region VI,45221,46975,48239,3.9,2.7,8.4
Region VII,46248,46058,46816,-0.4,1.6,8.2
Region VIII,18468,17119,16449,-7.3,-3.9,2.9
Region IX,22189,20355,20493,-8.3,0.7,3.6
Region X,48325,50264,52233,4,3.9,9.1
Region XI,40703,39618,39091,-2.7,-1.3,6.8
Region XII,28443,31079,30933,9.3,-0.5,5.4
Region XIII,9066,8592,8425,-5.2,-1.9,1.5
ARMM,3107,3224,3443,3.8,6.8,0.6
